phase,algo,servers,load_frac,load_pct,target_qps,workers,bin_seconds,bin_index,timestamp,elapsed_s,p50_us,p90_us,p99_us,p99_9_us,avg_us,total_responses,ok_responses,error_responses,response_qps,error_qps,status_dist
1,wrr,10,0.75,75,188,15,5,0,2026-07-06T20:25:10,2.5,30466.6666667,51966.6666667,89033.3333333,107533.333333,30596.626273,930,930,0,186,0,"{""200"": 930}"
1,wrr,10,0.75,75,188,15,5,1,2026-07-06T20:25:15,7.5,32625,52050,89000,104500,30703.3427206,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,2,2026-07-06T20:25:20,12.5,33880,51880,89280,108240,30738.145076,930,930,0,186,0,"{""200"": 930}"
1,wrr,10,0.75,75,188,15,5,3,2026-07-06T20:25:25,17.5,39420,51940,90740,112960,31279.177334,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,4,2026-07-06T20:25:30,22.5,34560,51920,90840,112420,31236.5529954,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,5,2026-07-06T20:25:35,27.5,34220,51480,90780,107280,30947.9665472,930,930,0,186,0,"{""200"": 930}"
1,wrr,10,0.75,75,188,15,5,6,2026-07-06T20:25:40,32.5,34160,51120,90960,108540,30834.4294248,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,7,2026-07-06T20:25:45,37.5,33940,51020,90660,103180,30713.4558798,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,8,2026-07-06T20:25:50,42.5,28540,50620,88860,98860,30065.5316607,930,930,0,186,0,"{""200"": 930}"
1,wrr,10,0.75,75,188,15,5,9,2026-07-06T20:25:55,47.5,33200,50440,88520,98940,29993.233999,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,10,2026-07-06T20:26:00,52.5,28280,50600,88200,101660,30033.9747397,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,11,2026-07-06T20:26:05,57.5,23320,50480,87740,100180,29815.7869944,930,930,0,186,0,"{""200"": 930}"
