phase,algo,servers,load_frac,load_pct,target_qps,workers,bin_seconds,bin_index,timestamp,elapsed_s,p50_us,p90_us,p99_us,p99_9_us,avg_us,total_responses,ok_responses,error_responses,response_qps,error_qps,status_dist
1,wrr,10,0.75,75,188,15,5,0,2026-07-06T20:25:10,2.5,13100,51100,88200,102200,29677.6344086,930,930,0,186,0,"{""200"": 930}"
1,wrr,10,0.75,75,188,15,5,1,2026-07-06T20:25:15,7.5,38500,51400,88500,96700,30334.1798942,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,2,2026-07-06T20:25:20,12.5,39800,53400,90400,123700,31778.0645161,930,930,0,186,0,"{""200"": 930}"
1,wrr,10,0.75,75,188,15,5,3,2026-07-06T20:25:25,17.5,39100,52300,88900,95400,31023.4920635,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,4,2026-07-06T20:25:30,22.5,38900,51200,90400,123200,30877.3544974,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,5,2026-07-06T20:25:35,27.5,40800,51400,95500,125800,32382.7956989,930,930,0,186,0,"{""200"": 930}"
1,wrr,10,0.75,75,188,15,5,6,2026-07-06T20:25:40,32.5,14200,51300,89000,94000,30121.0582011,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,7,2026-07-06T20:25:45,37.5,38100,51200,90100,98000,30335.1322751,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,8,2026-07-06T20:25:50,42.5,38800,50500,89800,101700,30455.8064516,930,930,0,186,0,"{""200"": 930}"
1,wrr,10,0.75,75,188,15,5,9,2026-07-06T20:25:55,47.5,37800,50700,88900,96400,30272.4867725,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,10,2026-07-06T20:26:00,52.5,13800,49400,86500,104200,29143.1746032,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,11,2026-07-06T20:26:05,57.5,37500,50400,87300,94400,29759.5698925,930,930,0,186,0,"{""200"": 930}"
1,wrr,10,0.75,75,188,15,5,12,2026-07-06T20:26:10,62.5,13500,52000,88500,111600,30538.8359788,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,13,2026-07-06T20:26:15,67.5,14000,49900,87500,94300,29364.8677249,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,14,2026-07-06T20:26:20,72.5,40200,55000,89600,106600,31695.1612903,930,930,0,186,0,"{""200"": 930}"
1,wrr,10,0.75,75,188,15,5,15,2026-07-06T20:26:25,77.5,39400,51400,92400,117800,31008.994709,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,16,2026-07-06T20:26:30,82.5,14900,49800,88700,98700,29602.6455026,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,17,2026-07-06T20:26:35,87.5,39300,51500,89700,104900,30848.4946237,930,930,0,186,0,"{""200"": 930}"
1,wrr,10,0.75,75,188,15,5,18,2026-07-06T20:26:40,92.5,38000,50500,90100,121700,30324.021164,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,19,2026-07-06T20:26:45,97.5,13500,49400,85500,95200,29086.4550265,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,20,2026-07-06T20:26:50,102.5,39400,52400,88500,115700,30971.2903226,930,930,0,186,0,"{""200"": 930}"
1,wrr,10,0.75,75,188,15,5,21,2026-07-06T20:26:55,107.5,39000,50800,88600,122100,30691.1111111,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,22,2026-07-06T20:27:00,112.5,13100,51400,92200,126800,29739.2592593,945,945,0,189,0,"{""200"": 945}"
1,wrr,10,0.75,75,188,15,5,23,2026-07-06T20:27:05,117.5,13400,49800,86800,128500,28970.8602151,930,930,0,186,0,"{""200"": 930}"
